iter	Passed	Remaining
0	196	97890
1	257	64038
2	322	53469
3	395	49020
4	459	45516
5	522	42989
6	588	41416
7	650	40034
8	714	38996
9	777	38080
10	839	37325
11	903	36731
12	968	36283
13	1033	35860
14	1097	35480
15	1160	35094
16	1221	34715
17	1285	34420
18	1347	34108
19	1411	33881
20	1473	33601
21	1535	33357
22	1597	33135
23	1661	32962
24	1723	32753
25	1786	32574
26	1849	32391
27	1915	32283
28	1977	32125
29	2043	32021
30	2104	31846
31	2169	31731
32	2232	31586
33	2295	31461
34	2356	31308
35	2419	31182
36	2484	31084
37	2546	30960
38	2608	30834
39	2670	30708
40	2733	30606
41	2797	30507
42	2859	30390
43	2922	30286
44	2982	30159
45	3046	30068
46	3107	29950
47	3169	29844
48	3230	29732
49	3302	29724
50	3366	29641
51	3431	29560
52	3494	29473
53	3558	29390
54	3624	29327
55	3688	29240
56	3754	29180
57	3820	29113
58	3883	29024
59	3945	28934
60	4014	28894
61	4081	28836
62	4144	28749
63	4207	28666
64	4272	28593
65	4338	28529
66	4400	28442
67	4464	28361
68	4529	28293
69	4596	28237
70	4662	28169
71	4726	28096
72	4792	28031
73	4858	27971
74	4933	27955
75	4999	27889
76	5064	27820
77	5132	27769
78	5206	27747
79	5275	27696
80	5344	27645
81	5415	27606
82	5478	27525
83	5542	27449
84	5606	27374
85	5673	27310
86	5735	27227
87	5798	27147
88	5863	27078
89	5928	27007
90	5994	26941
91	6062	26885
92	6130	26830
93	6201	26784
94	6275	26751
95	6344	26700
96	6410	26631
97	6474	26559
98	6536	26478
99	6605	26423
100	6674	26365
101	6746	26324
102	6809	26247
103	6876	26184
104	6947	26137
105	7015	26077
106	7079	26003
107	7142	25923
108	7207	25854
109	7275	25795
110	7340	25726
111	7403	25649
112	7466	25570
113	7529	25494
114	7593	25421
115	7657	25348
116	7723	25281
117	7791	25222
118	7855	25151
119	7919	25077
120	7980	24997
121	8046	24931
122	8113	24867
123	8176	24793
124	8241	24724
125	8306	24655
126	8376	24603
127	8442	24537
128	8507	24468
129	8574	24403
130	8636	24325
